symbol,FullName,Exchange,ISIN,Currency,Country
0JL.F,"ALUMASC GRP PLC  LS -,125",Frankfurt (FWB),GB0000280353,EUR,Germany
0JM.F,JASA MARGA (PERSERO)RP500,Frankfurt (FWB),ID1000108103,EUR,Germany
0JQ.F,"BIOSTEM TECHS     DL-,001",Frankfurt (FWB),US0906842002,EUR,Germany
0JV0.F,"IBIO INC.      DL -,001",Frankfurt (FWB),US4510337086,EUR,Germany
0JW.F,"JELD-WEN HLDG INC. DL-,01",Frankfurt (FWB),US47580P1030,EUR,Germany
0JX.F,STADIO HOLDINGS LTD,Frankfurt (FWB),ZAE000248662,EUR,Germany
0JZ.F,"CARVOLIX S.A. EO 0,10",Frankfurt (FWB),FR0013333077,EUR,Germany
0K0.F,"R22 SA ZY -,02",Frankfurt (FWB),PLR220000018,EUR,Germany
0K1.F,KUREHA CORP.,Frankfurt (FWB),JP3271600003,EUR,Germany
0K6.F,WAWEL                ZY 5,Frankfurt (FWB),PLWAWEL00013,EUR,Germany
0K91.F,QUANTUM BIOPHARMA LTD.,Frankfurt (FWB),CA74764Y2050,EUR,Germany
0KD.F,"KORNIT DIGITAL    IS -,01",Frankfurt (FWB),IL0011216723,EUR,Germany
0KE.F,KERNEL HLDG S.A.,Frankfurt (FWB),LU0327357389,EUR,Germany
0KG.F,"RUNWAY G.F.CORP. DL -,01",Frankfurt (FWB),US78163D1000,EUR,Germany
0KH.F,"HENRY BOOT PLC     LS-,10",Frankfurt (FWB),GB0001110096,EUR,Germany
0KJ.F,ABERFORTH SM.COS TR.LS-01,Frankfurt (FWB),GB0000066554,EUR,Germany
0KM.F,"LENTEX B          ZY 0,41",Frankfurt (FWB),PLLENTX00010,EUR,Germany
0KN.F,"MORGAN SINDALL GRP LS-,05",Frankfurt (FWB),GB0008085614,EUR,Germany
0KP.F,BULGARIAN STOCK EXCHANGE,Frankfurt (FWB),BG1100016978,EUR,Germany
0KU.F,KAYNE ANDERSON BDC O.N.,Frankfurt (FWB),US48662X1054,EUR,Germany
0KZA.F,"AMERAN.BANCORP CL.A DL-,1",Frankfurt (FWB),US0235761014,EUR,Germany
0L2.F,"UNIQUE FABRICAT.  DL-,001",Frankfurt (FWB),US90915J1034,EUR,Germany
0L3.F,"SEVERFIELD PLC   LS -,025",Frankfurt (FWB),GB00B27YGJ97,EUR,Germany
0L41.F,KINGSVIEW MINERALS NEW,Frankfurt (FWB),CA4967423050,EUR,Germany
0L5.F,LAMB WESTON HLDGS    DL 1,Frankfurt (FWB),US5132721045,EUR,Germany
0L8.F,"LANTHEUS HLDGS     DL-,01",Frankfurt (FWB),US5165441032,EUR,Germany
0LA.F,FALCON ENERGY MATERIAL,Frankfurt (FWB),AE000A40HL14,EUR,Germany
0LF.F,TOIVO GROUP OYJ   EO 1,Frankfurt (FWB),FI4000496716,EUR,Germany
0LQ.F,"EURODRY LTD.   DL -,01",Frankfurt (FWB),MHY235081079,EUR,Germany
0LT.F,LEOCH INT.TECH.REGS HD-01,Frankfurt (FWB),KYG546541015,EUR,Germany
0LW1.F,"NEOVACS NOM.    EO 1,0",Frankfurt (FWB),FR0014018EV4,EUR,Germany
0LZ.F,"YELLOW CAKE PLC    LS-,01",Frankfurt (FWB),JE00BF50RG45,EUR,Germany
0M0.F,AVERDION SE INH. O.N.,Frankfurt (FWB),DE000A3ESL51,EUR,Germany
0M1.F,SOUTHERN ENERGY CORP.,Frankfurt (FWB),CA8428133059,EUR,Germany
0M5.F,"BILL HOLDINGS   DL-,00001",Frankfurt (FWB),US0900431000,EUR,Germany
0M61.F,"MYOMO INC. NEW DL-,0001",Frankfurt (FWB),US62857J2015,EUR,Germany
0M7.F,"COFCO JOY.FOOD.DL-,000001",Frankfurt (FWB),KYG226921008,EUR,Germany
0M9.F,FINEOS CORP.HLDG.CDIS/1/1,Frankfurt (FWB),AU0000054322,EUR,Germany
0MD.F,SQUIRREL MEDIA S.A.,Frankfurt (FWB),ES0183304080,EUR,Germany
0ME.F,"TWIST BIOSCIENCEDL-,00001",Frankfurt (FWB),US90184D1000,EUR,Germany
0MI.F,ALLIANCE DEV. CAP.,Frankfurt (FWB),BE0974269012,EUR,Germany
0MLA.F,TORRENT CAPITAL LTD.,Frankfurt (FWB),CA89141P1071,EUR,Germany
0MN.F,FERRO SA             ZY 1,Frankfurt (FWB),PLFERRO00016,EUR,Germany
0MO.F,DMG MORI CO. LTD.,Frankfurt (FWB),JP3924800000,EUR,Germany
0MS.F,"FIRST ADVANTAGE   DL-,001",Frankfurt (FWB),US31846B1089,EUR,Germany
0MU.F,GROWENS S.P.A.,Frankfurt (FWB),IT0005040354,EUR,Germany
0MZ.F,NEWPATH RESOURCES INC.,Frankfurt (FWB),CA6517281078,EUR,Germany
0N2.F,OMAI GOLD MINES CORP.,Frankfurt (FWB),CA6820431048,EUR,Germany
0N4.F,NORTHISLE COPPER+GOLD INC,Frankfurt (FWB),CA66644R1038,EUR,Germany
